#[Succeeded /Failed / Skipped / Total] 6 /1 / 3 / 5463
#Total time: 385.8013472557068 seconds for 10 samples
original,perturbed,True,Pred_original,Pred_perturbed,success,time,n_positions
"As of that day, the new constitution heralding the Second Republic came into force.",,0,1,-1,False,-1.0,-1
"The most important tributaries in this area are the Ill below of Strasbourg, the Neckar in Mannheim and the Main across from Mainz.","The mo⁨st important tributaries in this area a󠆉re the Ill below of Strasbourg, the Neckar in Mannheim and the Main across from Mainz.",1,1,0,True,8.695321083068848,2
In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.,In most provinces a seco󠅢nd Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.,1,1,0,True,3.677856683731079,1
"The Tayichi'ud enslaved Temüjin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice.[citation needed]","The Tayichi'ud ensl‌a󠅏ved Te󠆞müjin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice.[citation needed]",0,0,1,True,24.569744110107422,3
"He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody.",,1,0,-1,False,-1.0,-1
"For example, Joseph Haas was arrested for allegedly sending an email to the Lebanon, New Hampshire city councilors stating, ""Wise up or die.""","F‪󠆨︈o󠄯r example​​,​‮ ‮Joseph Ha󠅠as was arr󠄠este󠄥d for allegedly sending an email to the Lebanon, New Hampshir󠁮e city⁦ cou‭ncil​⁦ors st⁠ating, ""Wise up or die.""‮",1,1,1,False,196.87096047401428,30
"Founded in 1968 by the union of the Methodist Church (USA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.",,1,0,-1,False,-1.0,-1
Southern California is also important to the world of yachting.,Souther󠅋n California 󠇇is al󠅋so important to the world of ‫yachting.,1,1,0,True,22.132660150527954,6
Temüjin's reputation also became widespread after his escape from the Tayichi'ud.,Temüjin's︅ reputation a​​lso became widespread afte󠇤r his e󠅤󠇤scape󠅧 from󠅡 the Tayichi'ud󠅋﻿.​󠅋‪,1,1,0,True,84.24170017242432,17
"These branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.","The󠁫se branch through the mesoglea to the mo‍st active parts of the animal: the mout󠆒h and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.",0,0,1,True,45.33897256851196,6
