#[Succeeded /Failed / Skipped / Total] 76 /8 / 16 / 100
#Total time: 587.2613208293915 seconds for 100 samples
original,perturbed,True,Pred_original,Pred_perturbed,success,time,n_positions
Everyone really likes the newest benefits ,Ever︉yone really li⁧kes the newest benefits ,1,1,0,True,2.369521379470825,2
The Government Executive articles housed on the website are not able to be searched.,The Go󠅻vernment Ex󠅻ecutive articles housed o︈󠇩n t󠅌he​ webs󠁫󠆒ite are not able to be searched.,0,0,0,False,23.168773651123047,10
"I like him for the most part, but would still enjoy seeing someone beat him.","I like him for the mos󠆱t part, but would still enjoy seeing someone beat him.",2,2,1,True,2.1007866859436035,1
My favorite restaurants are always at least a hundred miles away from my house. ,My fa󠁙vorite re﻿stau󠇇rants are al󠆝ways at least a hundred miles away from my house. ,0,0,1,True,10.188929796218872,4
I know exactly.,󠅋󠁠I󠁁󠅋 k󠆒now exact󠄕ly.,0,0,1,True,8.470261096954346,6
We have plenty of space in the landfill.,We have plenty of spa󠀺c﻿​e in the landf﻿️i󠄛ll.,0,0,0,False,28.569023847579956,10
I did that all through college but it never worked ,I did that‪ all through college but it never worked ,0,0,2,True,2.982760429382324,2
Most of Mrinal Sen's work can be found in European collections.,Most of Mri󠁃nal Sen's work can be︈ found in Eu󠁖ropean col󠆒lections.,1,1,0,True,12.406280755996704,4
THe strike price could be $8.,THe st󠀜rike price could be $8.,0,0,1,True,2.4755637645721436,1
Would you rise up and defeaat all evil lords in the town?,Would you rise u󠀯p and defeaat al⁠l evil lords in the town?,1,1,0,True,4.071508407592773,2
"Go downwards to one of the gates, all of which will lead you into the cathedral.","Go do⁨wnwards to one of the gates, all of which will lead you into the cathedral.",0,0,2,True,2.531191110610962,1
The Tamils' bhakti movement froze the previously warm ritual of Hinduism.,The Tamils' bhakti movement 󠅞froze t󠇭he previously warm ritual of Hinduism.,0,0,2,True,4.169595003128052,2
Everyone involved was the same age.,Every󠆱on󠆩e 󠅞invo󠅋lved was󠅅 the same age.,0,0,1,True,28.32815957069397,7
Severn said the people were not welcome there.,Severn said the people were not welcome the󠅺re.,2,2,1,True,1.4013350009918213,1
We don't loan a lot of money.,,1,0,-1,False,-1.0,-1
I don't know how cold it got last night.,,2,1,-1,False,-1.0,-1
I need a way to add something extra.,I need a way to add something extra.,2,2,1,True,1.2442131042480469,1
Sometimes it is amusing to see what the hologram creates.,Sometimes it is amus󠁫ing to see what the hologram creates.,2,2,1,True,2.5040292739868164,1
Gross national saving was highest this year.,Gross national saving was highes‍t this year.,1,1,0,True,1.6503510475158691,1
The amount of lost mail is huge and really impacts mail volume,​The amount of lost mai󠅃l 󠇃is huge and r󠅃eally impacts mail volume,0,0,0,False,24.441368103027344,10
"You don't want to push the button lightly, but rather punch it hard.",,1,2,-1,False,-1.0,-1
It has a buffet.,I‍t has a buffet.,2,2,0,True,1.1244175434112549,1
Clinton said that Monica Lewinsky made unwanted sexual advances during her time as a journalist in the White House. ,Clinton ‎s󠅴‌aid that Monica Le󠇆wi‌nsky made unwanted sexual advances during her time as a journalist in the White House. ,1,1,0,True,11.067216634750366,5
Leading organizations want to be sure their employees are safe.,Leading organization󠆒s want to be sure their employees are safe.,1,1,0,True,3.7797718048095703,2
"No, they wouldn't go there.","No, they wo​uldn't go there.",1,1,2,True,1.2965381145477295,1
This is how things are and there are no apologies about it.,,0,1,-1,False,-1.0,-1
Pope John Paul II also visited in 1983.,Pope John Paul II als︎o visited in 1983.,1,1,0,True,1.9425511360168457,1
Tourism is not very big in Spain.,󠁁Touris︁m is not 󠄅very big 󠄮i󠅾n Spain.,0,0,1,True,12.549213647842407,5
