#[Succeeded /Failed / Skipped / Total] 13 /4 / 3 / 20
#Total time: 1070.6220028400421 seconds for 20 samples
original,perturbed,True,Pred_original,Pred_perturbed,success,time,n_positions
"As of that day, the new constitution heralding the Second Republic came into force.",,0,1,-1,False,-1.0,-1
"The most important tributaries in this area are the Ill below of Strasbourg, the Neckar in Mannheim and the Main across from Mainz.","The mo⁨st important tributaries in this area a󠆉re the Ill below of Strasbourg, the Neckar in Mannheim and the Main across from Mainz.",1,1,0,True,8.37860918045044,2
In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.,In most provinces a seco󠅢nd Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.,1,1,0,True,3.4901442527770996,1
"The Tayichi'ud enslaved Temüjin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice.[citation needed]","The Tayichi'ud ensl‌a󠅏ved Te󠆞müjin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice.[citation needed]",0,0,1,True,24.377111434936523,3
"He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody.",,1,0,-1,False,-1.0,-1
"For example, Joseph Haas was arrested for allegedly sending an email to the Lebanon, New Hampshire city councilors stating, ""Wise up or die.""","F‪󠆨︈o󠄯r example​​,​‮ ‮Joseph Ha󠅠as was arr󠄠este󠄥d for allegedly sending an email to the Lebanon, New Hampshir󠁮e city councilors st⁠ating, ""Wise up or die.""",1,1,1,False,116.69770622253418,20
"Founded in 1968 by the union of the Methodist Church (USA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.",,1,0,-1,False,-1.0,-1
Southern California is also important to the world of yachting.,Souther󠅋n California 󠇇is al󠅋so important to the world of ‫yachting.,1,1,0,True,22.158191442489624,6
Temüjin's reputation also became widespread after his escape from the Tayichi'ud.,Temüjin's︅ reputation a​​lso became widespread afte󠇤r his e󠅤󠇤scape󠅧 from󠅡 the Tayichi'ud󠅋﻿.​󠅋‪,1,1,0,True,85.07210922241211,17
"These branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.","The󠁫se branch through the mesoglea to the mo‍st active parts of the animal: the mout󠆒h and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.",0,0,1,True,45.117178201675415,6
"Brownlee argues, ""Bringing in deterrence at the level of justification detracts from the law’s engagement in a moral dialogue with the offender as a rational person because it focuses attention on the threat of punishment and not the moral reasons to follow this law.""","Brownlee argues, ""Bringing in deterrence at the level o󠆑f justification detracts from the️ law’s engagement in a moral 󠆾dialogue with the o󠁑ffender as a rational person because it focuses attenti󠁆on on the threat 󠆜o󠁾f punishment󠆾 and not﻿ the moral reasons︃ to follow this law.""",1,1,1,False,156.14484119415283,20
"The Scotland Act 1998, which was passed by the Parliament of the United Kingdom and given royal assent by Queen Elizabeth II on 19 November 1998, governs the functions and role of the Scottish Parliament and delimits its legislative competence.","The Scot󠁫​󠁖󠆵land Act 1998, which was passed by the Parliament󠁖 of the United Kingdom and given royal assent by Queen Elizabeth II on 19 November 199󠁉8, governs the functions and role of the Sco󠇇tti󠇇sh Parliament and delimits its legislative compete󠁖nce.",0,0,1,True,92.08811235427856,14
Hypersensitivity is an immune response that damages the body's own tissues.,󠇀Hypersen‪sitivity is an immune response that damages the body'󠆚s own tissues.,0,0,1,True,10.91285753250122,3
the Polish government-in-exile in London gave orders to the underground Home Army (AK) to try to seize control of Warsaw from the Germans before the Red Army arrived.,the Polish government-in-​exile in London gave orders t﻿o the un﻿der︌ground H​ome Army (AK) to︈‭ try to seize contr󠄓ol of Wa​rs󠀃aw from the Germans be󠆕fore the Red Ar󠁦my arriv​ed.︎​,1,1,1,False,119.63781762123108,20
The theater was built in 1939 and is at Olive and Wishon Avenues in the heart of the Tower District.,The the󠅋ater was built in 1939 and󠅋 is at Olive and Wishon Ave󠄴nues in the heart of 󠆃the󠅋 Tower District.,1,1,0,True,19.979612827301025,5
"The largest and southern main branch begins as Waal and continues as Boven Merwede (""Upper Merwede""), Beneden Merwede (""Lower Merwede""), Noord River (""North River""), Nieuwe Maas (""New Meuse""), Het Scheur (""the Rip"") and Nieuwe Waterweg (""New Waterway"").","The largest and southern main branch begins as W󠆒aal and continues as Boven Merwede (""Upper Merwede""󠆅), Beneden Merwede (""Lower Merwe󠇇de""), Noord River (""North River""), Nieuwe Maas (""Ne󠇇w Meuse""), Het Sc󠆅heur (""t󠁅he Rip"") and Nieuwe Wate󠇇rweg (""New Wate󠇦rway"").",0,0,1,True,103.17255902290344,12
"Other institutions for higher education include the Medical University of Warsaw, the largest medical school in Poland and one of the most prestigious, the National Defence University, highest military academic institution in Poland, the Fryderyk Chopin University of Music the oldest and largest music school in Poland, and one of the largest in Europe, the Warsaw School of Economics, the oldest and most renowned economic university in the country, and the Warsaw University of Life Sciences the largest agricultural university founded in 1818.","Other institutions for higher education include the Medic󠄄al University of Warsaw, the largest medi󠆒cal school in Poland and one of the most prestigious, the National Defence University, highest military academic institution in Poland, the Fryderyk Chop󠀚in University of Music the oldest and largest music sc︂hool in Poland, and one of the largest in Europe, the Warsaw School of Econ󠁖omics, the oldest and most renowned economic university in the country, and the Wars󠅛aw University of Life Sciences the largest agricultur️al university founded in 18󠄅18️.",0,0,0,False,237.3718991279602,20
"More than 50% of this area is sown for wheat, 33% for barley and 7% for oats.","More than 50% of this area is sown for wheat, 33% for barley and 7% for oats.",0,0,1,True,6.536787033081055,2
"He lit electric lamps wirelessly at both locations, demonstrating the potential of wireless power transmission.","He l󠅜it electric la⁨mps wirelessly at both locations, demonstrating the potential of wireless power transmission.",0,0,1,True,7.102755069732666,2
This World's Fair devoted a building to electrical exhibits.,Thi󠁰s Wor‮ld's󠄆 Fair d​evoted a building to electrical exhibits.,1,1,0,True,11.96958613395691,4
