#[Succeeded /Failed / Skipped / Total] 8 /2 / 0 / 9815

#Total time: 96.30692982673645 seconds for 10 samples
 benefits ,Ever︉yone really li⁧kes the newest benefits ,1,1,0,True,2.393826961517334,2
The Government Executive articles housed on the website are not able to be searched.,The Go󠅻vernment Ex󠅻ecutive articles housed o︈󠇩n t󠅌he​ webs󠁫󠆒ite are not able to be searched.,0,0,0,False,22.616116762161255,10
"I like him for the most part, but would still enjoy seeing someone beat him.","I like him for the mos󠆱t part, but would still enjoy seeing someone beat him.",2,2,1,True,2.086764097213745,1
My favorite restaurants are always at least a hundred miles away from my house. ,My fa󠁙vorite re﻿stau󠇇rants are al󠆝ways at least a hundred miles away from my house. ,0,0,1,True,10.26196551322937,4
I know exactly.,󠅋󠁠I󠁁󠅋 k󠆒now exact󠄕ly.,0,0,1,True,8.728831052780151,6
We have plenty of space in the landfill.,We have plenty of spa󠀺c﻿​e in the landf﻿️i󠄛ll.,0,0,0,False,28.051503658294678,10
I did that all through college but it never worked ,I did that‪ all through college but it never worked ,0,0,2,True,3.002380847930908,2
Most of Mrinal Sen's work can be found in European collections.,Most of Mri󠁃nal Sen's work can be︈ found in Eu󠁖ropean col󠆒lections.,1,1,0,True,12.372006177902222,4
THe strike price could be $8.,THe st󠀜rike price could be $8.,0,0,1,True,2.457616090774536,1
Would you rise up and defeaat all evil lords in the town?,Would you rise u󠀯p and defeaat al⁠l evil lords in the town?,1,1,0,True,4.079665660858154,2
