#[Succeeded /Failed / Skipped / Total] 23 /4 / 3 / 30
#Total time: 1462.1571307182312 seconds for 30 samples
original,perturbed,True,Pred_original,Pred_perturbed,success,time,n_positions
"As of that day, the new constitution heralding the Second Republic came into force.",,0,1,-1,False,-1.0,-1
"The most important tributaries in this area are the Ill below of Strasbourg, the Neckar in Mannheim and the Main across from Mainz.","The mo⁨st important tributaries in this area a󠆉re the Ill below of Strasbourg, the Neckar in Mannheim and the Main across from Mainz.",1,1,0,True,8.787869453430176,2
In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.,In most provinces a seco󠅢nd Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.,1,1,0,True,3.7226526737213135,1
"The Tayichi'ud enslaved Temüjin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice.[citation needed]","The Tayichi'ud ensl‌a󠅏ved Te󠆞müjin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice.[citation needed]",0,0,1,True,24.681029081344604,3
"He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody.",,1,0,-1,False,-1.0,-1
"For example, Joseph Haas was arrested for allegedly sending an email to the Lebanon, New Hampshire city councilors stating, ""Wise up or die.""","F‪󠆨︈o󠄯r example​​,​‮ ‮Joseph Ha󠅠as was arr󠄠este󠄥d for allegedly sending an email to the Lebanon, New Hampshir󠁮e city councilors st⁠ating, ""Wise up or die.""",1,1,1,False,116.545250415802,20
"Founded in 1968 by the union of the Methodist Church (USA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.",,1,0,-1,False,-1.0,-1
Southern California is also important to the world of yachting.,Souther󠅋n California 󠇇is al󠅋so important to the world of ‫yachting.,1,1,0,True,21.864126682281494,6
Temüjin's reputation also became widespread after his escape from the Tayichi'ud.,Temüjin's︅ reputation a​​lso became widespread afte󠇤r his e󠅤󠇤scape󠅧 from󠅡 the Tayichi'ud󠅋﻿.​󠅋‪,1,1,0,True,84.2089912891388,17
"These branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.","The󠁫se branch through the mesoglea to the mo‍st active parts of the animal: the mout󠆒h and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.",0,0,1,True,44.162755489349365,6
"Brownlee argues, ""Bringing in deterrence at the level of justification detracts from the law’s engagement in a moral dialogue with the offender as a rational person because it focuses attention on the threat of punishment and not the moral reasons to follow this law.""","Brownlee argues, ""Bringing in deterrence at the level o󠆑f justification detracts from the️ law’s engagement in a moral 󠆾dialogue with the o󠁑ffender as a rational person because it focuses attenti󠁆on on the threat 󠆜o󠁾f punishment󠆾 and not﻿ the moral reasons︃ to follow this law.""",1,1,1,False,157.06464076042175,20
"The Scotland Act 1998, which was passed by the Parliament of the United Kingdom and given royal assent by Queen Elizabeth II on 19 November 1998, governs the functions and role of the Scottish Parliament and delimits its legislative competence.","The Scot󠁫​󠁖󠆵land Act 1998, which was passed by the Parliament󠁖 of the United Kingdom and given royal assent by Queen Elizabeth II on 19 November 199󠁉8, governs the functions and role of the Sco󠇇tti󠇇sh Parliament and delimits its legislative compete󠁖nce.",0,0,1,True,92.71028900146484,14
Hypersensitivity is an immune response that damages the body's own tissues.,󠇀Hypersen‪sitivity is an immune response that damages the body'󠆚s own tissues.,0,0,1,True,11.329458713531494,3
the Polish government-in-exile in London gave orders to the underground Home Army (AK) to try to seize control of Warsaw from the Germans before the Red Army arrived.,the Polish government-in-​exile in London gave orders t﻿o the un﻿der︌ground H​ome Army (AK) to︈‭ try to seize contr󠄓ol of Wa​rs󠀃aw from the Germans be󠆕fore the Red Ar󠁦my arriv​ed.︎​,1,1,1,False,119.04942154884338,20
The theater was built in 1939 and is at Olive and Wishon Avenues in the heart of the Tower District.,The the󠅋ater was built in 1939 and󠅋 is at Olive and Wishon Ave󠄴nues in the heart of 󠆃the󠅋 Tower District.,1,1,0,True,19.807931661605835,5
