original,perturbed,True,Pred_original,Pred_perturbed,success,time,n_positions
it 's a charming and often affecting journey . ,‎‎‎‎‎it 's a charming and often affecting journey . ,1,1,1,False,1.1681427955627441,5
unflinchingly bleak and desperate ,‎‎‎‎‎unflinchingly bleak and desperate ,0,0,0,False,0.6672580242156982,5
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,‎‎‎‎‎allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,1,1,1,False,4.822934150695801,5
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ","‎‎‎‎‎the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",1,1,1,False,5.772333145141602,5
"it 's slow -- very , very slow . ","‎‎‎‎‎it 's slow -- very , very slow . ",0,0,0,False,0.6352541446685791,5
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ","‎‎‎‎‎although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",1,1,1,False,5.219836950302124,5
a sometimes tedious film . ,‎‎‎‎‎a sometimes tedious film . ,0,0,0,False,0.4571526050567627,5
or doing last year 's taxes with your ex-wife . ,‎‎‎‎‎or doing last year 's taxes with your ex-wife . ,0,0,0,False,1.1771044731140137,5
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,‎‎‎‎‎you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,1,1,1,False,4.465928792953491,5
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","‎‎‎‎‎in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0,0,0,False,9.5746431350708,5
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,‎‎‎‎‎the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,1,1,1,False,4.091253280639648,5
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","‎‎‎‎‎it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0,0,0,False,9.296566724777222,5
... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,‎‎‎‎‎... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,0,0,0,False,3.9098024368286133,5
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","‎‎‎we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",1,1,0,True,2.4451634883880615,3
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,‎even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,0,0,1,True,1.2776997089385986,1
"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","‎‎‎‎‎a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ",1,1,1,False,5.03588080406189,5
the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,‎‎‎‎‎the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,1,1,1,False,3.5120503902435303,5
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ","‎‎‎‎‎audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",1,1,1,False,11.855693101882935,5
... the movie is just a plain old monster . ,‎‎‎‎‎... the movie is just a plain old monster . ,0,0,0,False,1.0072109699249268,5
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","‎‎‎‎‎in its best moments , resembles a bad high school production of grease , without benefit of song . ",0,0,0,False,4.250257968902588,5
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","‎‎‎‎pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0,0,1,True,9.549909830093384,4
the iditarod lasts for days - this just felt like it did . ,,0,1,-1,False,-1.0,-1
holden caulfield did it better . ,,0,1,-1,False,-1.0,-1
"a delectable and intriguing thriller filled with surprises , read my lips is an original . ","‎‎‎‎‎a delectable and intriguing thriller filled with surprises , read my lips is an original . ",1,1,1,False,3.665504217147827,5
seldom has a movie so closely matched the spirit of a man and his work . ,‎‎‎‎‎seldom has a movie so closely matched the spirit of a man and his work . ,1,1,1,False,2.449854850769043,5
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ","‎‎‎‎‎nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",0,0,0,False,8.752899169921875,5
